onet_soc,title,R1,R2,R3,employment,union
15-2099.01,Bioinformatics Technicians,-1.11046,0.609218,-1.91735,4660,0.0610167
17-1011.00,"Architects, Except Landscape and Naval",-0.231995,1.66465,-0.551247,111140,0.0331532
17-1012.00,Landscape Architects,-0.633346,1.07567,-0.555785,19580,0.0135612
17-1021.00,Cartographers and Photogrammetrists,-0.686514,0.242733,-1.027,12790,0.0342182
17-1022.00,Surveyors,0.700479,1.08131,-0.27358,53080,0.0342182
17-1022.01,Geodetic Surveyors,0.211524,1.08083,-1.40658,53080,0.0342182
17-2011.00,Aerospace Engineers,-0.500765,1.47875,-1.77588,68440,0.0875136
17-2021.00,Agricultural Engineers,0.444081,1.65415,-1.2523,1680,0.125979
17-2031.00,Bioengineers and Biomedical Engineers,-0.234077,1.6306,-1.61793,21860,0.125979
17-2041.00,Chemical Engineers,-0.13833,1.43472,-1.9283,20330,0.0928329
17-2051.00,Civil Engineers,-0.189797,1.59745,-1.12641,355410,0.089159
17-2051.01,Transportation Engineers,-0.248138,1.72958,-0.917617,355410,0.089159
17-2051.02,Water/Wastewater Engineers,-0.349504,1.63771,-1.17834,355410,0.089159
17-2061.00,Computer Hardware Engineers,-0.654138,1.21451,-2.01262,75710,0.0029292
17-2071.00,Electrical Engineers,-0.0657978,1.56,-1.27364,188790,0.0871414
17-2072.00,"Electronics Engineers, Except Computer",-0.299961,1.21154,-2.38234,93940,0.0871414
17-2072.01,Radio Frequency Identification Device Specialists,-0.419619,0.956848,-1.10651,93940,0.0871414
17-2081.00,Environmental Engineers,-0.199024,1.44617,-0.6263,37950,0.128715
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.414494,1.10948,0.201127,23220,0.0568883
17-2111.02,Fire-Prevention and Protection Engineers,-0.0963338,1.77422,-1.12319,23220,0.0568883
17-2112.00,Industrial Engineers,-0.117565,1.0352,-1.05827,350230,0.0568883
17-2112.01,Human Factors Engineers and Ergonomists,-0.458674,1.20991,-0.645896,350230,0.0568883
17-2112.02,Validation Engineers,-0.320947,1.15358,-1.09053,350230,0.0568883
17-2112.03,Manufacturing Engineers,0.5523,1.69276,-1.34471,350230,0.0568883
17-2121.00,Marine Engineers and Naval Architects,0.864911,1.48709,-1.20665,8440,0
17-2131.00,Materials Engineers,-0.00735836,1.44305,-1.44146,22770,0.103464
17-2141.00,Mechanical Engineers,-0.030259,1.55053,-1.72923,286760,0.0443376
17-2141.01,Fuel Cell Engineers,-0.0593038,1.30777,-2.0772,286760,0.0443376
17-2141.02,Automotive Engineers,0.0480425,1.63509,-1.49135,286760,0.0443376
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",0.0059338,1.83084,-1.26441,6770,0.0773458
17-2161.00,Nuclear Engineers,0.0551308,1.94043,-1.619,14740,0.0545838
